Steps;Time;Cost
0;0,0449;43012
0;0,0425;43227
0;0,045000000000000005;42515
0;0,043300000000000005;43524
0;0,0428;41815
0;0,0455;42458
0;0,045200000000000004;42949
0;0,0455;43237
0;0,0428;43052
0;0,0422;43088
0;0,041699999999999994;42951
0;0,0573;42858
0;0,0443;42412
0;0,043300000000000005;41815
0;0,0426;42561
0;0,0435;43273
0;0,0448;42515
0;0,043300000000000005;43360
0;0,0422;43088
0;0,0446;43171
0;0,0438;42989
0;0,0432;43524
0;0,0451;42515
0;0,0449;43675
0;0,0426;42951
0;0,0435;43162
0;0,0423;43177
0;0,0449;43202
0;0,0444;43237
0;0,043300000000000005;43506
0;0,045200000000000004;42547
0;0,0429;43227
0;0,0425;44317
0;0,050899999999999994;43675
0;0,0423;43232
0;0,0422;43177
0;0,043699999999999996;42989
0;0,045000000000000005;42824
0;0,0443;43202
0;0,0432;43360
0;0,046900000000000004;42870
0;0,043300000000000005;43859
0;0,0439;43162
0;0,0455;42458
0;0,043300000000000005;43524
0;0,045899999999999996;43697
0;0,0455;43098
0;0,044199999999999996;43879
0;0,0425;43088
0;0,0428;43360
0;0,0443;43618
0;0,0424;43358
0;0,0421;42951
0;0,045200000000000004;42587
0;0,0441;42515
0;0,0472;44013
0;0,0455;42949
0;0,043300000000000005;43177
0;0,0421;42545
0;0,0444;42745
0;0,0427;42745
0;0,044700000000000004;42587
0;0,0443;42989
0;0,0441;43879
0;0,043699999999999996;42471
0;0,0445;43444
0;0,0429;43052
0;0,0451;42864
0;0,0449;43141
0;0,043000000000000003;43095
0;0,0418;43227
0;0,041699999999999994;43465
0;0,0438;43113
0;0,0438;43525
0;0,0434;42561
0;0,0444;42864
0;0,0441;43879
0;0,0502;43273
0;0,0713;43237
0;0,0418;43237
0;0,0425;43232
0;0,043300000000000005;44282
0;0,045599999999999995;42515
0;0,045399999999999996;43171
0;0,044;42703
0;0,044199999999999996;42412
0;0,043300000000000005;43939
0;0,044;43013
0;0,043699999999999996;42321
0;0,0439;43394
0;0,0451;43675
0;0,0427;43237
0;0,0451;42756
0;0,0455;42673
0;0,0444;42728
0;0,0449;43171
0;0,0443;43012
0;0,0444;43846
0;0,0528;43391
0;0,0804;43113
0;0,045599999999999995;42949
0;0,045599999999999995;42458
0;0,0444;43186
0;0,0434;44282
0;0,0462;43618
0;0,0434;43465
0;0,0441;43360
0;0,0429;43088
0;0,0446;43519
0;0,0448;43673
0;0,0444;42989
0;0,045899999999999996;43237
0;0,044199999999999996;42561
0;0,0804;42979
0;0,044199999999999996;43524
0;0,0436;42979
0;0,0436;43013
0;0,0455;42458
0;0,0441;43444
0;0,0493;42703
0;0,044199999999999996;43859
0;0,044;42321
0;0,0448;42745
0;0,0444;42989
0;0,043300000000000005;43358
0;0,0455;42458
0;0,043699999999999996;43859
0;0,044700000000000004;42703
0;0,045000000000000005;42508
0;0,0443;43519
0;0,0441;43360
0;0,0443;44013
0;0,0465;42515
0;0,0455;42989
0;0,0425;43088
0;0,044;43939
0;0,0443;43113
0;0,0421;43177
0;0,0436;43391
0;0,0432;41815
0;0,0444;43013
0;0,0483;43859
0;0,0444;43162
0;0,0441;42745
0;0,044199999999999996;43013
0;0,0425;43465
0;0,0446;42728
0;0,0446;42587
0;0,0455;43900
0;0,0444;42515
0;0,0465;43098
0;0,045000000000000005;43141
0;0,0436;43939
0;0,043699999999999996;42321
0;0,0441;42508
0;0,0427;43088
0;0,0427;43177
0;0,0416;43088
0;0,044;43444
0;0,0436;43673
0;0,0455;43141
0;0,0449;43098
0;0,0424;43273
0;0,0493;43273
0;0,043000000000000003;43052
0;0,0448;43900
0;0,0457;42949
0;0,044;42321
0;0,0436;43232
0;0,045899999999999996;42870
0;0,0429;41815
0;0,0426;43227
0;0,0424;41815
0;0,0441;43846
0;0,045200000000000004;42515
0;0,0438;43273
0;0,0427;43088
0;0,0429;42989
0;0,045000000000000005;43171
0;0,044;42321
0;0,044;43525
0;0,0424;42951
0;0,0418;43227
0;0,0412;43465
0;0,0415;43095
0;0,0493;43697
0;0,045000000000000005;43846
0;0,0432;43012
0;0,044;43273
0;0,043300000000000005;42989
0;0,044199999999999996;42471
0;0,0461;43098
0;0,0423;43088
0;0,0449;42824
0;0,0431;43232
0;0,0446;43113
0;0,0449;42949
0;0,0444;43162
0;0,043300000000000005;43232
0;0,0439;44282
0;0,045000000000000005;42587
0;0,0434;43358
0;0,041999999999999996;43266
0;0,046;42870
0;0,0424;43237
0;0,045399999999999996;42547
0;0,0458;43392
0;0,0462;43939
0;0,0431;43358
0;0,045000000000000005;42508
0;0,0439;43273
0;0,0446;42703
0;0,0429;43506
0;0,0427;42545
0;0,0462;42949
0;0,0465;42870
0;0,0448;43237
0;0,0443;43273
0;0,0422;43227
0;0,045399999999999996;43141
0;0,045200000000000004;43697
0;0,045000000000000005;42515
0;0,0434;42321
0;0,0434;43232
0;0,0426;43052
0;0,0445;43237
0;0,045200000000000004;43171
0;0,0448;43202
0;0,0468;43392
0;0,0483;42471
0;0,045399999999999996;43141
0;0,0445;42949
0;0,0438;42728
0;0,0451;43618
0;0,0449;42515
0;0,0434;42561
0;0,0448;43675
0;0,045399999999999996;42949
0;0,0436;43394
0;0,044;43012
0;0,0429;42858
0;0,0448;43202
0;0,0421;43465
0;0,044;43846
0;0,0436;42989
0;0,0449;42515
0;0,0435;43444
0;0,0446;42673
0;0,0434;42858
0;0,044700000000000004;43113
0;0,0445;43618
0;0,0514;43675
0;0,0441;43113
0;0,0435;44013
0;0,044700000000000004;42703
0;0,0435;41815
0;0,0434;43273
0;0,043300000000000005;44013
0;0,0435;42471
0;0,0455;43618
0;0,0428;43052
0;0,0446;43171
0;0,0446;42949
0;0,0436;43186
0;0,0428;42545
0;0,0455;43141
